Handle,Title,Body (HTML),Vendor,Standard Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
vanilla-satchel-bag,Vanilla satchel bag,"",RTW,,,Shoulder bags,true,Title,Default Title,,,,,TGF-01,0.0,shopify,0,continue,manual,44.99,74.99,true,false,'86485201,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/White-satchel-bag-quarter.jpg?v=1628073841,1,,false,,,,,,,,,,,,,,,,,kg,,,active
vanilla-satchel-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/White-satchel-bag-front.jpg?v=1628073841,2,,,,,,,,,,,,,,,,,,,,,,
vanilla-satchel-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/White-satchel-bag-back.jpg?v=1628073841,3,,,,,,,,,,,,,,,,,,,,,,
vanilla-satchel-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/White-satchel-bag-inside.jpg?v=1628073841,4,,,,,,,,,,,,,,,,,,,,,,
vanilla-satchel-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/White-satchel-bag-closeup_01.jpg?v=1628073841,5,,,,,,,,,,,,,,,,,,,,,,
rose-pink-satchel-bag,Rose pink satchel bag,"",RTW,,,Shoulder bags,true,Title,Default Title,,,,,TGF-02,0.0,shopify,-1,continue,manual,44.99,74.99,true,false,'83503313,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/Pink-satchel-bag-quarter.jpg?v=1628073835,1,,false,,,,,,,,,,,,,,,,,kg,,,active
rose-pink-satchel-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/Pink-satchel-bag-front.jpg?v=1628073835,2,,,,,,,,,,,,,,,,,,,,,,
rose-pink-satchel-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/Pink-satchel-bag-back.jpg?v=1628073835,3,,,,,,,,,,,,,,,,,,,,,,
rose-pink-satchel-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/Pink-satchel-bag-inside.jpg?v=1628073835,4,,,,,,,,,,,,,,,,,,,,,,
rose-pink-satchel-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/Pink-satchel-bag-closeup_01.jpg?v=1628073835,5,,,,,,,,,,,,,,,,,,,,,,
slate-satchel-bag,Slate satchel bag,"",RTW,,,Shoulder bags,true,Title,Default Title,,,,,TGF-03,0.0,shopify,0,continue,manual,44.99,74.99,true,false,'83437777,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/Grey-satchel-bag-quarter.jpg?v=1628073830,1,,false,,,,,,,,,,,,,,,,,kg,,,active
slate-satchel-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/Grey-satchel-bag-front.jpg?v=1628073830,2,,,,,,,,,,,,,,,,,,,,,,
slate-satchel-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/Grey-satchel-bag-back.jpg?v=1628073830,3,,,,,,,,,,,,,,,,,,,,,,
slate-satchel-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/Grey-satchel-bag-inside.jpg?v=1628073830,4,,,,,,,,,,,,,,,,,,,,,,
slate-satchel-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/Grey-satchel-bag-closeup_01.jpg?v=1628073830,5,,,,,,,,,,,,,,,,,,,,,,
chocolate-satchel-bag,Chocolate satchel bag,"",RTW,,,Shoulder bags,true,Title,Default Title,,,,,TGF-04,0.0,shopify,0,continue,manual,44.99,74.99,true,false,'83372241,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/Brown-satchel-bag-quarter.jpg?v=1628073826,1,,false,,,,,,,,,,,,,,,,,kg,,,active
chocolate-satchel-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/Brown-satchel-bag-front.jpg?v=1628073826,2,,,,,,,,,,,,,,,,,,,,,,
chocolate-satchel-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/Brown-satchel-bag-back.jpg?v=1628073826,3,,,,,,,,,,,,,,,,,,,,,,
chocolate-satchel-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/Brown-satchel-bag-inside.jpg?v=1628073826,4,,,,,,,,,,,,,,,,,,,,,,
chocolate-satchel-bag,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0550/4968/3153/products/Brown-satchel-bag-closeup_01.jpg?v=1628073826,5,,,,,,,,,,,,,,,,,,,,,,
